violation_id,contract_id,content_id,studio,violation_type,expected,paid,difference,territory,start_date,end_date,proof_hash
VIO0031,C0303,Song_003,Paramount,OVERPAYMENT,200.0,-1322.47,1822.47,"US,CA",2023-02-16,2023-08-20,b5a9f1a5097b5b13010cc9ddeec0984a3c480380961b9c0e820ac91b04712847
VIO0032,C0320,Song_020,Disney,UNDERPAYMENT,500.0,289.21,460.79,"US,CA",2023-03-14,2024-08-31,102d62076b1f6de98ac8430d56a171e06f47776f56f3520d5e895fa29326ea89
VIO0033,C0323,Song_023,Sony Music,UNDERPAYMENT,500.0,-229.52,429.52,"UK,FR,AU",2023-08-07,2025-05-21,f862b4d6b8224e796e0e5830bb8dc9d172236e454eb290105fd3a2697a2258b4
VIO0034,C0335,Song_035,Universal,OVERPAYMENT,200.0,318.91,431.09,"IN,JP,DE",2023-01-22,2024-10-14,59f65e05ffaa3d0452ba643a375ce9287bed9b926a705c8b4e8d6b7800e6a908
VIO0035,C0352,Song_052,MGM,UNDERPAYMENT,500.0,307.88,192.12,"JP,DE",2023-03-10,2024-01-30,a352e054c396bb6e987940da82e536a826811cbefa0ec2588897f928c4fd9cd4
VIO0036,C0369,Song_069,Lionsgate,OVERPAYMENT,750.0,-528.99,728.99,"JP,DE",2023-03-18,2024-03-15,855f942136a2a6fec8ac46e6b0f0adaee40b26f776def06915136082618856d2
VIO0037,C0371,Song_071,Disney,UNDERPAYMENT,500.0,-1322.47,1822.47,"IN,BR",2023-03-03,2025-01-25,ca2d5cfb68f9845d8868f5b4ce317f8d1fabd4ec8f921698dcb30ca8e302bfe8
VIO0038,C0373,Song_073,Netflix Originals,OVERPAYMENT,200.0,373.51,376.49,US,2023-05-30,2024-10-02,4f42388487769e1de186baf5b7d74e1577d84dec0039dfba3900db4d5f8cf33b
VIO0039,C0377,Song_077,Lionsgate,OVERPAYMENT,500.0,200.86,299.14,"IN,BR",2023-02-17,2023-09-29,55de932535d28e18747fe39c5b70e04cbc563ce33d4209c0b7773dc5f84a042e
VIO0040,C0394,Song_094,Disney,UNDERPAYMENT,200.0,-306.08,806.08,"IN,JP,DE",2023-08-30,2025-08-21,3af66cbb8cca43e0b1051bc764686edf2c6ad18593ad0d0e820ae9596ade8ae9
VIO0041,C0422,Song_122,Sony Music,TERRITORY_VIOLATION,200.0,-555.72,1055.72,"US,CA,UK",2023-11-14,2024-10-09,ce047a5797e44e87b3a79fbd54f6903017561b5e1f202ffa398ecdfb160b12b2
VIO0042,C0430,Song_130,Paramount,OVERPAYMENT,750.0,424.94,325.06,"IN,BR",2023-01-11,2024-06-19,9d84a6a4ee6349eed39c85bc4499c0e37f144e269baf408ccf1585f39654830e
VIO0043,C0438,Song_138,Warner Bros,OVERPAYMENT,200.0,-540.23,1040.23,"US,CA,UK",2023-04-26,2024-05-21,7e56b4e08911293410eef538d287ca006f33cd0f4131a5294edbaa80f9d77345
VIO0044,C0454,Song_154,Indie Label,UNDERPAYMENT,200.0,-854.39,1604.39,"UK,FR,AU",2023-08-11,2025-04-21,a19dfd6593dfee120db655a5dfd32d8d42fdec171fbbe6fb54e96a3bb9ab4c6b
VIO0045,C0455,Song_155,Lionsgate,OVERPAYMENT,200.0,-332.07,1082.07,"US,CA,UK",2023-07-11,2024-01-21,4353a3100fb8601993442f9f97b45f3978cc17d03768fb21c67fb14f6a774116
VIO0046,C0463,Song_163,Lionsgate,OVERPAYMENT,750.0,-362.98,1112.98,US,2023-12-22,2024-06-28,bac1149f0e78e3104964afeb8af8de4bfd1c5a0610d522a602bf009182c2e265
VIO0047,C0473,Song_173,MGM,EXPIRED_LICENSE,750.0,-1983.71,2733.71,"US,CA",2023-03-23,2024-01-03,e68bda4c2a8f6f02f56608ef749c54b9032033574eadf737a41320113b4c0943
VIO0048,C0474,Song_174,Sony Music,OVERPAYMENT,200.0,-10.02,210.02,"JP,DE",2023-07-03,2024-01-28,b1f136bbcc121cfb2e3b21fb52d141ea8e28fbd0e3f607165cee2e1252177a61
VIO0049,C0477,Song_177,Netflix Originals,UNDERPAYMENT,500.0,167.33,332.67,"UK,FR,AU",2023-02-18,2024-11-02,f56c9119ccce745a3ad0a77ec3ad441b810714dedf7624d545ea619144761e8e
VIO0050,C0487,Song_187,MGM,EXPIRED_LICENSE,500.0,249.22,500.78,"JP,DE",2023-04-08,2024-09-15,41556800056e52070f5f97f3d543f682063dd4405a8c3f2a3833b780a365a024
VIO0051,C0492,Song_192,Netflix Originals,OVERPAYMENT,750.0,65.36,134.64,"JP,DE",2023-11-05,2025-10-09,a951121375c2aed5913ab6e729ba100c3a657eeaa38b084aeb7647f738def43e
VIO0052,C0514,Song_214,Lionsgate,OVERPAYMENT,500.0,-1983.71,2733.71,"US,CA",2023-02-14,2023-10-27,d446a2a300d57c13fa847045f81889a8a66a1536927074d9e21acb16ea5276ea
VIO0053,C0515,Song_215,Warner Bros,UNDERPAYMENT,750.0,-1983.71,2733.71,"JP,DE",2023-07-18,2025-04-19,21496870d8d60c2a71a118d48c2efa4fca72fa6d80f89846706155dece4d6026
VIO0054,C0535,Song_235,Indie Label,TERRITORY_VIOLATION,200.0,-1983.71,2733.71,"US,CA",2023-12-09,2025-01-03,c59c35f2c6ec9af311573068a08466f1777a6e8863005f982ead03209c0360dc
VIO0055,C0538,Song_238,Netflix Originals,UNDERPAYMENT,750.0,237.34,512.66,"IN,BR",2023-07-12,2024-08-23,9ce3b92b6169e45a135304b01b32a128fb03778847e20115902c66217edf9be3
VIO0056,C0542,Song_242,MGM,UNDERPAYMENT,500.0,447.0,303.0,"UK,FR,AU",2023-10-31,2024-10-09,8fe8f6dc2b952c55647671442f7f21b72d89c496cbcda61473fad7af04c9fbfd
VIO0057,C0562,Song_262,Netflix Originals,OVERPAYMENT,200.0,-59.69,809.69,"UK,FR,AU",2023-09-22,2024-11-12,6f33411833e99d1527d7f9db7172a64cd4229a78493ce2f72ed607990bffcfb1
VIO0058,C0574,Song_274,MGM,EXPIRED_LICENSE,200.0,117.5,382.5,"IN,JP,DE",2023-09-04,2025-03-17,cfac42a86b92d36259db781f1dafd0467cd82687703ff48e97390691d87682a7
VIO0059,C0575,Song_275,Sony Music,EXPIRED_LICENSE,500.0,-347.67,847.67,"IN,JP,DE",2023-09-19,2024-12-28,c8f891d4b1b84de1a5dda4adefbd05d26216bf30c71431390847f3ea9cf96105
VIO0060,C0576,Song_276,Sony Music,UNDERPAYMENT,750.0,25.86,724.14,"UK,FR,AU",2023-01-17,2024-12-11,ad87f13eaad0cd92e2e9b244b19bc104c77e7c7322c1f4782f3221a036cb839e
VIO0061,C0579,Song_279,Netflix Originals,UNDERPAYMENT,500.0,287.21,212.79,"IN,BR",2023-04-05,2025-02-23,726b34db69c99ece071e699ddd75b9efed64e387a1877bcddb94a7abe11db210
VIO0062,C0587,Song_287,Sony Music,TERRITORY_VIOLATION,500.0,-109.2,309.2,"JP,DE",2023-02-10,2024-09-02,37e759d700f6db212759ee1fe64d5369a475bada2d61363eeec7af4701e93ee3
VIO0063,C0588,Song_288,Sony Music,TERRITORY_VIOLATION,500.0,-5.5,205.5,"JP,DE",2023-11-20,2025-07-06,716ae2c50e3fdc51bed901211e7f3a96626efda7e7987f476e5698031783fc62
VIO0064,C0591,Song_291,Universal,UNDERPAYMENT,750.0,106.49,643.51,"IN,BR",2023-12-25,2024-09-11,c750ebc49834ef4669e1b8a05eee50c919cbd1671616efff3c04d6b1b72d9fa1
VIO0065,C0598,Song_298,A24,TERRITORY_VIOLATION,500.0,4.3,195.7,"IN,JP,DE",2023-03-11,2024-08-24,2ecd42fd8ff6e1e522dd59657ded8dc11343755b6153ed436850595647f9fa6c
VIO0066,C0616,Song_316,A24,TERRITORY_VIOLATION,750.0,108.62,91.38,"US,CA,UK",2023-03-10,2024-05-19,eb73a790a4f8815540578c2545a072ad380129b99101a53256a1c7069a1569d0
VIO0067,C0617,Song_317,A24,TERRITORY_VIOLATION,750.0,-1322.47,1822.47,"JP,DE",2023-04-08,2024-04-13,aa232a7b5fa15529ca6a4723720d29747af59e51249cf34b39085fb1c15e07f1
VIO0068,C0630,Song_330,Lionsgate,OVERPAYMENT,500.0,106.6,393.4,"UK,FR,AU",2023-11-04,2025-07-29,2c662b0cf88bb31829bb36f4a69b245cd0b35ba5aee6beab79db740dea081d94
VIO0069,C0634,Song_334,Paramount,TERRITORY_VIOLATION,750.0,-258.37,758.37,"IN,JP,DE",2023-06-11,2023-12-30,f88b89b4c73439c4420ea08963752aba3282d0ed158dd2cda7d2c941e94c3409
VIO0070,C0644,Song_344,Disney,EXPIRED_LICENSE,750.0,-352.48,852.48,"JP,DE",2023-10-14,2024-10-30,3ca68072c443a3432b810d9104be8c64f41fedaec5661d46f3bcfb428b818446
VIO0071,C0660,Song_360,Lionsgate,UNDERPAYMENT,200.0,142.38,57.62,"JP,DE",2023-10-05,2024-08-14,219e6bad372183546701f5d88f88b36f6279cc004a1019a08f1b0bc88f70a8b7
VIO0072,C0672,Song_372,Warner Bros,UNDERPAYMENT,500.0,408.73,91.27,"IN,BR",2023-05-27,2025-03-09,83840ffee26b6ad37586807280648a6072a4e57663bd14370ee275080c8341fd
VIO0073,C0686,Song_386,Disney,OVERPAYMENT,200.0,247.3,-47.3,"US,CA",2023-12-22,2025-03-27,7dc1c93b68ceabd233c50c8c120d6d761bc88f527d9694480c1930b421b5d69f
VIO0074,C0689,Song_389,Sony Music,UNDERPAYMENT,750.0,612.61,137.39,"UK,FR,AU",2023-09-12,2025-08-24,77b0e54e2d258d3a64821203b6dbc31adf207831d0d20e9bb1c054589d653521
VIO0075,C0707,Song_407,Paramount,UNDERPAYMENT,200.0,163.06,36.94,"UK,FR,AU",2023-06-29,2024-11-16,41e3d3d4e0d61dd5be92818a116b820baacbaf41aa76907f5758f1ae90fda072
VIO0076,C0712,Song_412,Netflix Originals,OVERPAYMENT,500.0,552.2,-52.2,"IN,JP,DE",2023-11-12,2025-01-29,2a4d9eaca5920839684ff9be5dee0926392703eae595c877ba9153ec3e0b2fde
VIO0077,C0727,Song_427,A24,EXPIRED_LICENSE,750.0,0.0,750.0,"JP,DE",2023-03-11,2023-12-02,9eda57576a08f746fa768bed4d20d373ac546728a67a3f18c227f9b15d287bab
VIO0078,C0745,Song_445,Disney,EXPIRED_LICENSE,750.0,0.0,750.0,"IN,JP,DE",2023-12-12,2025-02-11,e5cfb093d926107590c68b615262fe8590eaecc5d34fcb7656858eee7d1a67d7
VIO0079,C0751,Song_451,Paramount,OVERPAYMENT,200.0,238.97,-38.97,"IN,JP,DE",2023-02-01,2024-08-25,55118a678508cec1124ce001ee9516c303f77b7f5abe4ce856e34fd09bbebd75
VIO0080,C0769,Song_469,Warner Bros,EXPIRED_LICENSE,750.0,0.0,750.0,"IN,BR",2023-10-11,2024-09-23,af2c1b8b6a3c00205f9ff3c099aef78c08946e153bbd92b0a8521df85df67805
VIO0081,C0786,Song_486,Indie Label,OVERPAYMENT,500.0,586.31,-86.31,US,2023-10-30,2024-09-26,1465ae010752de2565b9955b5d329d672e3a9dba96060c3cba6d03136e84d4ea
VIO0082,C0790,Song_490,A24,UNDERPAYMENT,750.0,609.35,140.65,"JP,DE",2023-03-12,2024-10-27,d9f94116894a4a3b97c1fe83f581a6018c875b3c0072642ce0a5d55b3ae34ea4
VIO0083,C0814,Song_514,Netflix Originals,UNDERPAYMENT,750.0,666.87,83.13,US,2023-08-07,2025-02-15,2146be7b0cc2cdfe11093250eecbbcaf7f1139a530a7b47d59136feb0bcc4cca
VIO0084,C0821,Song_521,Universal,UNDERPAYMENT,750.0,527.86,222.14,"US,CA,UK",2023-05-06,2023-12-01,a040302267b37395751e2bd48ee4bf2d6de00925f6ca8c1c082fefc8ed61c439
VIO0085,C0822,Song_522,A24,UNDERPAYMENT,500.0,395.06,104.94,"JP,DE",2023-10-17,2025-07-04,f0dc97cd24b84c471cd0f3d6b092553f7a5d3f71df1d42ecce5d40e50cff1078
VIO0086,C0824,Song_524,Netflix Originals,OVERPAYMENT,750.0,907.72,-157.72,US,2023-07-02,2024-06-13,72ba3ac93f0c1f31276a2dce251acd99624487f8cd1bdae14a1f36359e99fb61
VIO0087,C0832,Song_532,Indie Label,OVERPAYMENT,200.0,217.16,-17.16,US,2023-06-07,2024-04-10,b977bdf15a1185b2582e34081e9ecdbbfa22040dc0938dab24655268505b5fd0
VIO0088,C0842,Song_542,Indie Label,TERRITORY_VIOLATION,500.0,267.44,232.56,"IN,BR",2023-12-18,2025-09-12,46b082aec2da5c254d394db3111c134e01937924ba8fcc262c5ab7e1c00d4c23
VIO0089,C0853,Song_553,A24,UNDERPAYMENT,750.0,551.33,198.67,US,2023-09-09,2025-05-22,853678655a8842ac266df7e785f43decbb80fd2d2817cab641d0f687523d7510
VIO0090,C0855,Song_555,Warner Bros,OVERPAYMENT,200.0,236.07,-36.07,"UK,FR,AU",2023-07-13,2025-01-04,1f4a5362966ead709605f8349d4760f5717e285c8433c3f1de0c30512549f10c
VIO0091,C0860,Song_560,Universal,OVERPAYMENT,500.0,540.53,-40.53,"UK,FR,AU",2023-07-19,2024-12-10,4460dcce5381782e8dca26c0e0806e29abdf8e9cb56735cb014ca2d5593d8aba
VIO0092,C0861,Song_561,Indie Label,OVERPAYMENT,200.0,241.06,-41.06,"JP,DE",2023-09-15,2025-02-23,491c6cd989decd713f7fe211707e7f73ffa173fe62d37891e5f7a97eb7ae9707
VIO0093,C0869,Song_569,Paramount,UNDERPAYMENT,500.0,441.62,58.38,US,2023-07-31,2024-10-26,0913f92da0626ba91b22c115fe676ebdce78bf2f63d796a3308be7422ffc13ab
VIO0094,C0893,Song_593,Indie Label,TERRITORY_VIOLATION,200.0,115.17,84.83,US,2023-05-17,2024-09-02,fe087153aefe708919e203f8794ed1c7027b79538c3e8cd3455361e0051b7851
VIO0095,C0894,Song_594,Sony Music,UNDERPAYMENT,200.0,143.62,56.38,"IN,JP,DE",2023-05-25,2024-06-01,6a0dc738f041615225037d996ae902eefc4f9f3a6b91256f0d6ac9ef1fe5dbca
VIO0096,C0904,Song_604,A24,UNDERPAYMENT,750.0,573.45,176.55,"US,CA,UK",2023-08-28,2025-05-15,face1469ff17b65768f06b22488be843cda84ff45376937400a805b7692e72d9
VIO0097,C0925,Song_625,Indie Label,UNDERPAYMENT,200.0,146.31,53.69,"IN,JP,DE",2023-11-12,2025-05-14,86766dd7a9f1c069e353339be6390b740757bfc22cddb2afe344f602888eb16d
VIO0098,C0948,Song_648,Netflix Originals,UNDERPAYMENT,200.0,174.93,25.07,"JP,DE",2023-07-29,2025-05-08,87dfdd2d7a97c0578d04659aad89ef64ef18be233ecd51d0b965d7da962a9683
VIO0099,C0956,Song_656,Lionsgate,EXPIRED_LICENSE,500.0,0.0,500.0,"IN,BR",2023-11-22,2024-10-30,d84037491dde57ea40a4c5cb0b71d6a42b6259638429f80867dfa548746a57dd
VIO0100,C0967,Song_667,Sony Music,UNDERPAYMENT,500.0,392.07,107.93,"IN,BR",2023-07-11,2024-11-12,a9cbafa6968eb58191c3787af1968c22f51e5930520f19d899947b3f5f0fd7e2
VIO0101,C0968,Song_668,A24,TERRITORY_VIOLATION,500.0,291.94,208.06,"US,CA",2023-06-06,2024-09-18,f118ce80dfd7eb731e7131c050a2c0bd7a7f44f725ebe1e2c194e9da635a798f
VIO0102,C0985,Song_685,Warner Bros,OVERPAYMENT,500.0,612.18,-112.18,"IN,JP,DE",2023-11-14,2025-03-04,0ee2abe74723e8db3d3dc8e640d9e25035137bf1ae093db448d657d5d39c75fe
VIO0103,C0988,Song_688,Netflix Originals,OVERPAYMENT,750.0,839.26,-89.26,"UK,FR,AU",2023-05-24,2025-02-04,04650ce83694aeb5374c24730825c356812ec5a61ea4fc0a69c6b4f73ffedf8a
VIO0104,C0999,Song_699,Warner Bros,TERRITORY_VIOLATION,500.0,266.12,233.88,"JP,DE",2023-01-02,2024-09-10,9f8ba921d48117e710e4559d274f04a8309eb69efca95fbfa6cd5f22e6c80450
