payment_id,contract_id,content_id,amount_paid,payment_date
PMT00051,C0051,Movie_051,200.0,2024-02-18
PMT00052,C0052,Movie_052,200.0,2024-08-22
PMT00053,C0053,Movie_053,750.0,2024-01-23
PMT00054,C0054,Movie_054,-329.22,2024-07-08
PMT00055,C0055,Movie_055,750.0,2024-03-14
PMT00056,C0056,Movie_056,200.0,2024-05-07
PMT00057,C0057,Movie_057,750.0,2024-05-01
PMT00058,C0058,Movie_058,500.0,2024-06-30
PMT00059,C0059,Movie_059,750.0,2024-03-15
PMT00060,C0060,Movie_060,500.0,2024-01-05
PMT00061,C0061,Movie_061,750.0,2024-03-18
PMT00062,C0062,Movie_062,500.0,2024-01-24
PMT00063,C0063,Movie_063,500.0,2024-01-19
PMT00064,C0064,Movie_064,750.0,2024-08-02
PMT00065,C0065,Movie_065,750.0,2024-07-14
PMT00066,C0066,Movie_066,750.0,2024-04-06
PMT00067,C0067,Movie_067,750.0,2024-07-10
PMT00068,C0068,Movie_068,500.0,2024-04-12
PMT00069,C0069,Movie_069,500.0,2024-09-14
PMT00070,C0070,Movie_070,750.0,2024-08-19
PMT00071,C0071,Movie_071,750.0,2024-05-02
PMT00072,C0072,Movie_072,750.0,2024-02-07
PMT00073,C0073,Movie_073,750.0,2024-07-12
PMT00074,C0074,Movie_074,750.0,2024-05-28
PMT00075,C0075,Movie_075,500.0,2024-05-19
PMT00076,C0076,Movie_076,200.0,2024-08-08
PMT00077,C0077,Movie_077,951.57,2024-02-01
PMT00078,C0078,Movie_078,750.0,2024-03-24
PMT00079,C0079,Movie_079,500.0,2024-07-24
PMT00080,C0080,Movie_080,200.0,2024-02-09
PMT00081,C0081,Movie_081,500.0,2024-02-13
PMT00082,C0082,Movie_082,500.0,2024-02-08
PMT00083,C0083,Movie_083,500.0,2024-03-02
PMT00084,C0084,Movie_084,750.0,2024-07-11
PMT00085,C0085,Movie_085,245.43,2024-05-30
PMT00086,C0086,Movie_086,200.0,2024-03-13
PMT00087,C0087,Movie_087,200.0,2024-05-02
PMT00088,C0088,Movie_088,-1322.47,2024-03-13
PMT00089,C0089,Movie_089,500.0,2024-06-01
PMT00090,C0090,Movie_090,750.0,2024-07-16
PMT00091,C0091,Movie_091,200.0,2024-03-03
PMT00092,C0092,Movie_092,750.0,2024-06-03
PMT00093,C0093,Movie_093,500.0,2024-02-02
PMT00094,C0094,Movie_094,750.0,2024-05-13
PMT00095,C0095,Movie_095,200.0,2024-04-26
PMT00096,C0096,Movie_096,750.0,2024-01-13
PMT00097,C0097,Movie_097,117.33,2024-01-24
PMT00098,C0098,Movie_098,750.0,2024-03-04
PMT00099,C0099,Movie_099,200.0,2024-08-25
PMT00100,C0100,Movie_100,200.0,2024-02-29
PMT00101,C0101,Movie_101,200.0,2024-06-29
PMT00102,C0102,Movie_102,750.0,2024-09-02
PMT00103,C0103,Movie_103,750.0,2024-06-25
PMT00104,C0104,Movie_104,500.0,2024-01-03
PMT00105,C0105,Movie_105,200.0,2024-05-06
PMT00106,C0106,Movie_106,500.0,2024-03-31
PMT00107,C0107,Movie_107,200.0,2024-05-15
PMT00108,C0108,Movie_108,555.4,2024-06-14
PMT00109,C0109,Movie_109,750.0,2024-05-28
PMT00110,C0110,Movie_110,500.0,2024-04-12
PMT00111,C0111,Movie_111,500.0,2024-09-21
PMT00112,C0112,Movie_112,200.0,2024-08-03
PMT00113,C0113,Movie_113,200.0,2024-04-01
PMT00114,C0114,Movie_114,152.82,2024-06-19
PMT00115,C0115,Movie_115,750.0,2024-07-29
PMT00116,C0116,Movie_116,200.0,2024-02-10
PMT00117,C0117,Movie_117,500.0,2024-09-13
PMT00118,C0118,Movie_118,200.0,2024-02-27
PMT00119,C0119,Movie_119,750.0,2024-05-03
PMT00120,C0120,Movie_120,750.0,2024-07-19
PMT00121,C0121,Movie_121,750.0,2024-09-11
PMT00122,C0122,Movie_122,750.0,2024-06-21
PMT00123,C0123,Movie_123,750.0,2024-01-18
PMT00124,C0124,Movie_124,200.0,2024-03-17
PMT00125,C0125,Movie_125,750.0,2024-02-07
PMT00126,C0126,Movie_126,500.0,2024-01-11
PMT00127,C0127,Movie_127,200.0,2024-06-10
PMT00128,C0128,Movie_128,200.0,2024-04-08
PMT00129,C0129,Movie_129,200.0,2024-05-22
PMT00130,C0130,Movie_130,-555.72,2024-01-27
PMT00131,C0131,Movie_131,200.0,2024-04-01
PMT00132,C0132,Movie_132,221.84,2024-01-15
PMT00133,C0133,Movie_133,750.0,2024-03-03
PMT00134,C0134,Movie_134,750.0,2024-09-18
PMT00135,C0135,Movie_135,200.0,2024-01-03
PMT00136,C0136,Movie_136,200.0,2024-01-08
PMT00137,C0137,Movie_137,200.0,2024-01-08
PMT00138,C0138,Movie_138,750.0,2024-01-22
PMT00139,C0139,Movie_139,200.0,2024-04-23
PMT00140,C0140,Movie_140,500.0,2024-06-25
PMT00141,C0141,Movie_141,750.0,2024-06-04
PMT00142,C0142,Movie_142,55.41,2024-01-15
PMT00143,C0143,Movie_143,500.0,2024-07-09
PMT00144,C0144,Movie_144,500.0,2024-06-24
PMT00145,C0145,Movie_145,750.0,2024-08-01
PMT00146,C0146,Movie_146,500.0,2024-02-07
PMT00147,C0147,Movie_147,500.0,2024-08-18
PMT00148,C0148,Movie_148,200.0,2024-06-07
PMT00149,C0149,Movie_149,200.0,2024-05-17
PMT00150,C0150,Movie_150,200.0,2024-04-26
PMT00151,C0151,Movie_151,750.0,2024-09-03
PMT00152,C0152,Movie_152,750.0,2024-02-26
PMT00153,C0153,Movie_153,200.0,2024-01-22
PMT00154,C0154,Movie_154,200.0,2024-03-05
PMT00155,C0155,Movie_155,200.0,2024-06-02
PMT00156,C0156,Movie_156,22.84,2024-03-11
PMT00157,C0157,Movie_157,500.0,2024-04-17
PMT00158,C0158,Movie_158,500.0,2024-03-05
PMT00159,C0159,Movie_159,200.0,2024-08-11
PMT00160,C0160,Movie_160,200.0,2024-01-03
PMT00161,C0161,Movie_161,750.0,2024-04-23
PMT00162,C0162,Movie_162,500.0,2024-01-06
PMT00163,C0163,Movie_163,750.0,2024-02-04
PMT00164,C0164,Movie_164,200.0,2024-01-19
PMT00165,C0165,Movie_165,500.0,2024-01-26
PMT00166,C0166,Movie_166,500.0,2024-02-12
PMT00167,C0167,Movie_167,500.0,2024-09-03
PMT00168,C0168,Movie_168,750.0,2024-04-15
PMT00169,C0169,Movie_169,750.0,2024-03-19
PMT00170,C0170,Movie_170,750.0,2024-06-30
PMT00171,C0171,Movie_171,750.0,2024-09-05
PMT00172,C0172,Movie_172,200.0,2024-04-24
PMT00173,C0173,Movie_173,750.0,2024-06-07
PMT00174,C0174,Movie_174,750.0,2024-05-03
PMT00175,C0175,Movie_175,750.0,2024-09-14
PMT00176,C0176,Movie_176,500.0,2024-05-03
PMT00177,C0177,Movie_177,500.0,2024-04-22
PMT00178,C0178,Movie_178,6.67,2024-03-28
PMT00179,C0179,Movie_179,750.0,2024-04-29
PMT00180,C0180,Movie_180,750.0,2024-03-03
PMT00181,C0181,Movie_181,194.88,2024-06-25
PMT00182,C0182,Movie_182,500.0,2024-07-17
PMT00183,C0183,Movie_183,200.0,2024-04-18
PMT00184,C0184,Movie_184,200.0,2024-03-28
PMT00185,C0185,Movie_185,200.0,2024-02-07
PMT00186,C0186,Movie_186,500.0,2024-04-25
PMT00187,C0187,Movie_187,500.0,2024-07-09
PMT00188,C0188,Movie_188,750.0,2024-01-22
PMT00189,C0189,Movie_189,200.0,2024-04-07
PMT00190,C0190,Movie_190,200.0,2024-01-14
PMT00191,C0191,Movie_191,750.0,2024-05-17
PMT00192,C0192,Movie_192,750.0,2024-04-12
PMT00193,C0193,Movie_193,750.0,2024-06-27
PMT00194,C0194,Movie_194,500.0,2024-02-07
PMT00195,C0195,Movie_195,500.0,2024-01-01
PMT00196,C0196,Movie_196,500.0,2024-01-05
PMT00197,C0197,Movie_197,200.0,2024-05-13
PMT00198,C0198,Movie_198,500.0,2024-04-19
PMT00199,C0199,Movie_199,500.0,2024-09-18
PMT00200,C0200,Movie_200,599.57,2024-02-20
PMT00201,C0201,Movie_201,500.0,2024-03-12
PMT00202,C0202,Movie_202,750.0,2024-07-28
PMT00203,C0203,Movie_203,500.0,2024-06-12
PMT00204,C0204,Movie_204,200.0,2024-09-12
PMT00205,C0205,Movie_205,200.0,2024-03-06
PMT00206,C0206,Movie_206,500.0,2024-07-11
PMT00207,C0207,Movie_207,750.0,2024-03-19
PMT00208,C0208,Movie_208,200.0,2024-04-18
PMT00209,C0209,Movie_209,296.1,2024-03-31
PMT00210,C0210,Movie_210,750.0,2024-05-27
PMT00211,C0211,Movie_211,200.0,2024-03-31
PMT00212,C0212,Movie_212,200.0,2024-04-17
PMT00213,C0213,Movie_213,750.0,2024-06-17
PMT00214,C0214,Movie_214,750.0,2024-06-02
PMT00215,C0215,Movie_215,200.0,2024-05-21
PMT00216,C0216,Movie_216,500.0,2024-06-08
PMT00217,C0217,Movie_217,750.0,2024-04-22
PMT00218,C0218,Movie_218,750.0,2024-08-22
PMT00219,C0219,Movie_219,750.0,2024-04-22
PMT00220,C0220,Movie_220,750.0,2024-06-19
PMT00221,C0221,Movie_221,750.0,2024-01-22
PMT00222,C0222,Movie_222,750.0,2024-04-26
PMT00223,C0223,Movie_223,500.0,2024-02-05
PMT00224,C0224,Movie_224,500.0,2024-08-06
PMT00225,C0225,Movie_225,-1983.71,2024-04-22
PMT00226,C0226,Movie_226,200.0,2024-03-08
PMT00227,C0227,Movie_227,200.0,2024-08-24
PMT00228,C0228,Movie_228,750.0,2024-02-12
PMT00229,C0229,Movie_229,500.0,2024-03-11
PMT00230,C0230,Movie_230,750.0,2024-03-27
PMT00231,C0231,Movie_231,750.0,2024-06-11
PMT00232,C0232,Movie_232,500.0,2024-01-27
PMT00233,C0233,Movie_233,750.0,2024-09-11
PMT00234,C0234,Movie_234,750.0,2024-06-14
PMT00235,C0235,Movie_235,200.0,2024-01-01
PMT00236,C0236,Movie_236,200.0,2024-01-02
PMT00237,C0237,Movie_237,200.0,2024-01-27
PMT00238,C0238,Movie_238,-165.51,2024-06-11
PMT00239,C0239,Movie_239,500.0,2024-06-05
PMT00240,C0240,Movie_240,200.0,2024-05-30
PMT00241,C0241,Movie_241,500.0,2024-03-08
PMT00242,C0242,Movie_242,631.86,2024-09-27
PMT00243,C0243,Movie_243,200.0,2024-06-15
PMT00244,C0244,Movie_244,750.0,2024-02-22
PMT00245,C0245,Movie_245,500.0,2024-04-26
PMT00246,C0246,Movie_246,500.0,2024-09-21
PMT00247,C0247,Movie_247,200.0,2024-09-04
PMT00248,C0248,Movie_248,500.0,2024-05-27
PMT00249,C0249,Movie_249,500.0,2024-08-01
PMT00250,C0250,Movie_250,750.0,2024-04-07
PMT00251,C0251,Movie_251,200.0,2024-08-23
PMT00252,C0252,Movie_252,750.0,2024-08-24
PMT00253,C0253,Movie_253,500.0,2024-09-12
PMT00254,C0254,Movie_254,500.0,2024-01-09
PMT00255,C0255,Movie_255,200.0,2024-02-28
PMT00256,C0256,Movie_256,500.0,2024-04-27
PMT00257,C0257,Movie_257,200.0,2024-06-23
PMT00258,C0258,Movie_258,500.0,2024-07-24
PMT00259,C0259,Movie_259,750.0,2024-04-15
PMT00260,C0260,Movie_260,200.0,2024-08-31
PMT00261,C0261,Movie_261,35.96,2024-08-27
PMT00262,C0262,Movie_262,141.78,2024-07-25
PMT00263,C0263,Movie_263,633.28,2024-08-08
PMT00264,C0264,Movie_264,200.0,2024-07-10
PMT00265,C0265,Movie_265,750.0,2024-05-31
PMT00266,C0266,Movie_266,750.0,2024-08-22
PMT00267,C0267,Movie_267,750.0,2024-05-25
PMT00268,C0268,Movie_268,500.0,2024-02-23
PMT00269,C0269,Movie_269,200.0,2024-07-09
PMT00270,C0270,Movie_270,200.0,2024-04-07
PMT00271,C0271,Movie_271,500.0,2024-06-13
PMT00272,C0272,Movie_272,200.0,2024-08-21
PMT00273,C0273,Movie_273,750.0,2024-05-30
PMT00274,C0274,Movie_274,750.0,2024-06-10
PMT00275,C0275,Movie_275,750.0,2024-08-22
PMT00276,C0276,Movie_276,-143.0,2024-05-12
PMT00277,C0277,Movie_277,750.0,2024-03-29
PMT00278,C0278,Movie_278,200.0,2024-02-06
PMT00279,C0279,Movie_279,200.0,2024-08-13
PMT00280,C0280,Movie_280,200.0,2024-07-17
PMT00281,C0281,Movie_281,750.0,2024-05-21
PMT00282,C0282,Movie_282,500.0,2024-02-13
PMT00283,C0283,Movie_283,200.0,2024-08-29
PMT00284,C0284,Movie_284,500.0,2024-09-01
PMT00285,C0285,Movie_285,750.0,2024-01-24
PMT00286,C0286,Movie_286,500.0,2024-06-16
PMT00287,C0287,Movie_287,750.0,2024-04-05
PMT00288,C0288,Movie_288,200.0,2024-09-12
PMT00289,C0289,Movie_289,500.0,2024-01-29
PMT00290,C0290,Movie_290,500.0,2024-07-28
PMT00291,C0291,Movie_291,200.0,2024-04-14
PMT00292,C0292,Movie_292,500.0,2024-08-23
PMT00293,C0293,Movie_293,200.0,2024-07-27
PMT00294,C0294,Movie_294,500.0,2024-03-27
PMT00295,C0295,Movie_295,229.75,2024-01-17
PMT00296,C0296,Movie_296,430.38,2024-08-08
PMT00297,C0297,Movie_297,500.0,2024-08-01
PMT00298,C0298,Movie_298,500.0,2024-06-08
PMT00299,C0299,Movie_299,125.24,2024-01-28
PMT00300,C0300,Movie_300,586.69,2024-08-06
PMT00301,C0301,Song_001,500.0,2024-08-02
PMT00302,C0302,Song_002,500.0,2024-03-31
PMT00303,C0303,Song_003,232.34,2024-02-27
PMT00304,C0304,Song_004,750.0,2024-05-26
PMT00305,C0305,Song_005,200.0,2024-03-27
PMT00306,C0306,Song_006,200.0,2024-08-03
PMT00307,C0307,Song_007,750.0,2024-02-15
PMT00308,C0308,Song_008,750.0,2024-09-04
PMT00309,C0309,Song_009,750.0,2024-02-26
PMT00310,C0310,Song_010,750.0,2024-02-29
PMT00311,C0311,Song_011,200.0,2024-08-07
PMT00312,C0312,Song_012,500.0,2024-05-25
PMT00313,C0313,Song_013,750.0,2024-03-04
PMT00314,C0314,Song_014,500.0,2024-05-12
PMT00315,C0315,Song_015,750.0,2024-05-16
PMT00316,C0316,Song_016,200.0,2024-07-27
PMT00317,C0317,Song_017,500.0,2024-08-27
PMT00318,C0318,Song_018,500.0,2024-05-05
PMT00319,C0319,Song_019,200.0,2024-07-29
PMT00320,C0320,Song_020,-43.1,2024-09-08
PMT00321,C0321,Song_021,750.0,2024-04-27
PMT00322,C0322,Song_022,500.0,2024-04-14
PMT00323,C0323,Song_023,123.62,2024-05-18
PMT00324,C0324,Song_024,500.0,2024-08-22
PMT00325,C0325,Song_025,200.0,2024-03-24
PMT00326,C0326,Song_026,500.0,2024-01-07
PMT00327,C0327,Song_027,500.0,2024-01-01
PMT00328,C0328,Song_028,500.0,2024-07-26
PMT00329,C0329,Song_029,500.0,2024-01-05
PMT00330,C0330,Song_030,750.0,2024-02-21
PMT00331,C0331,Song_031,750.0,2024-02-26
PMT00332,C0332,Song_032,200.0,2024-04-23
PMT00333,C0333,Song_033,750.0,2024-08-24
PMT00334,C0334,Song_034,750.0,2024-02-23
PMT00335,C0335,Song_035,240.65,2024-08-12
PMT00336,C0336,Song_036,200.0,2024-09-27
PMT00337,C0337,Song_037,200.0,2024-01-11
PMT00338,C0338,Song_038,750.0,2024-09-10
PMT00339,C0339,Song_039,200.0,2024-03-11
PMT00340,C0340,Song_040,750.0,2024-08-02
PMT00341,C0341,Song_041,750.0,2024-04-19
PMT00342,C0342,Song_042,500.0,2024-08-22
PMT00343,C0343,Song_043,500.0,2024-03-22
PMT00344,C0344,Song_044,200.0,2024-04-12
PMT00345,C0345,Song_045,200.0,2024-08-05
PMT00346,C0346,Song_046,200.0,2024-04-10
PMT00347,C0347,Song_047,200.0,2024-03-29
PMT00348,C0348,Song_048,750.0,2024-05-17
PMT00349,C0349,Song_049,200.0,2024-05-23
PMT00350,C0350,Song_050,200.0,2024-02-17
PMT00351,C0351,Song_051,200.0,2024-06-25
PMT00352,C0352,Song_052,123.4,2024-02-18
PMT00353,C0353,Song_053,200.0,2024-06-12
PMT00354,C0354,Song_054,200.0,2024-03-12
PMT00355,C0355,Song_055,750.0,2024-04-10
PMT00356,C0356,Song_056,200.0,2024-08-04
PMT00357,C0357,Song_057,500.0,2024-03-27
PMT00358,C0358,Song_058,200.0,2024-01-14
PMT00359,C0359,Song_059,750.0,2024-04-17
PMT00360,C0360,Song_060,750.0,2024-02-09
PMT00361,C0361,Song_061,750.0,2024-04-16
PMT00362,C0362,Song_062,500.0,2024-07-21
PMT00363,C0363,Song_063,200.0,2024-05-01
PMT00364,C0364,Song_064,500.0,2024-05-26
PMT00365,C0365,Song_065,500.0,2024-01-19
PMT00366,C0366,Song_066,500.0,2024-01-01
PMT00367,C0367,Song_067,750.0,2024-04-08
PMT00368,C0368,Song_068,500.0,2024-06-09
PMT00369,C0369,Song_069,880.86,2024-02-28
PMT00370,C0370,Song_070,750.0,2024-08-09
PMT00371,C0371,Song_071,88.3,2024-03-14
PMT00372,C0372,Song_072,500.0,2024-03-11
PMT00373,C0373,Song_073,248.29,2024-02-27
PMT00374,C0374,Song_074,750.0,2024-01-24
PMT00375,C0375,Song_075,500.0,2024-04-13
PMT00376,C0376,Song_076,750.0,2024-01-15
PMT00377,C0377,Song_077,551.68,2024-05-27
PMT00378,C0378,Song_078,200.0,2024-04-20
PMT00379,C0379,Song_079,750.0,2024-02-01
PMT00380,C0380,Song_080,200.0,2024-09-01
PMT00381,C0381,Song_081,500.0,2024-05-10
PMT00382,C0382,Song_082,750.0,2024-03-16
PMT00383,C0383,Song_083,750.0,2024-08-29
PMT00384,C0384,Song_084,200.0,2024-01-31
PMT00385,C0385,Song_085,200.0,2024-03-14
PMT00386,C0386,Song_086,200.0,2024-08-01
PMT00387,C0387,Song_087,200.0,2024-07-13
PMT00388,C0388,Song_088,750.0,2024-08-09
PMT00389,C0389,Song_089,200.0,2024-05-20
PMT00390,C0390,Song_090,500.0,2024-05-30
PMT00391,C0391,Song_091,200.0,2024-01-25
PMT00392,C0392,Song_092,500.0,2024-04-03
PMT00393,C0393,Song_093,200.0,2024-01-12
PMT00394,C0394,Song_094,28.0,2024-06-08
PMT00395,C0395,Song_095,750.0,2024-07-17
PMT00396,C0396,Song_096,500.0,2024-09-05
PMT00397,C0397,Song_097,200.0,2024-04-07
PMT00398,C0398,Song_098,750.0,2024-09-08
PMT00399,C0399,Song_099,500.0,2024-08-24
PMT00400,C0400,Song_100,500.0,2024-03-28
PMT00401,C0401,Song_101,750.0,2024-08-26
PMT00402,C0402,Song_102,500.0,2024-03-06
PMT00403,C0403,Song_103,200.0,2024-06-06
PMT00404,C0404,Song_104,500.0,2024-07-17
PMT00405,C0405,Song_105,200.0,2024-04-10
PMT00406,C0406,Song_106,750.0,2024-06-24
PMT00407,C0407,Song_107,750.0,2024-06-19
PMT00408,C0408,Song_108,500.0,2024-02-19
PMT00409,C0409,Song_109,200.0,2024-06-08
PMT00410,C0410,Song_110,200.0,2024-06-06
PMT00411,C0411,Song_111,500.0,2024-03-24
PMT00412,C0412,Song_112,500.0,2024-08-27
PMT00413,C0413,Song_113,500.0,2024-02-12
PMT00414,C0414,Song_114,200.0,2024-04-15
PMT00415,C0415,Song_115,200.0,2024-09-03
PMT00416,C0416,Song_116,500.0,2024-07-12
PMT00417,C0417,Song_117,500.0,2024-08-05
PMT00418,C0418,Song_118,200.0,2024-07-27
PMT00419,C0419,Song_119,200.0,2024-05-01
PMT00420,C0420,Song_120,750.0,2024-05-31
PMT00421,C0421,Song_121,750.0,2024-04-24
PMT00422,C0422,Song_122,-79.2,2024-04-28
PMT00423,C0423,Song_123,200.0,2024-08-19
PMT00424,C0424,Song_124,500.0,2024-02-27
PMT00425,C0425,Song_125,750.0,2024-05-15
PMT00426,C0426,Song_126,200.0,2024-01-13
PMT00427,C0427,Song_127,500.0,2024-05-07
PMT00428,C0428,Song_128,750.0,2024-04-30
PMT00429,C0429,Song_129,500.0,2024-08-16
PMT00430,C0430,Song_130,856.51,2024-01-23
PMT00431,C0431,Song_131,750.0,2024-01-13
PMT00432,C0432,Song_132,500.0,2024-07-09
PMT00433,C0433,Song_133,750.0,2024-05-13
PMT00434,C0434,Song_134,200.0,2024-09-05
PMT00435,C0435,Song_135,750.0,2024-02-25
PMT00436,C0436,Song_136,500.0,2024-04-02
PMT00437,C0437,Song_137,200.0,2024-06-28
PMT00438,C0438,Song_138,254.09,2024-02-18
PMT00439,C0439,Song_139,750.0,2024-06-04
PMT00440,C0440,Song_140,500.0,2024-06-04
PMT00441,C0441,Song_141,500.0,2024-03-21
PMT00442,C0442,Song_142,750.0,2024-05-24
PMT00443,C0443,Song_143,200.0,2024-07-29
PMT00444,C0444,Song_144,500.0,2024-06-29
PMT00445,C0445,Song_145,750.0,2024-01-26
PMT00446,C0446,Song_146,750.0,2024-06-21
PMT00447,C0447,Song_147,200.0,2024-07-18
PMT00448,C0448,Song_148,500.0,2024-08-15
PMT00449,C0449,Song_149,750.0,2024-08-04
PMT00450,C0450,Song_150,200.0,2024-09-02
PMT00451,C0451,Song_151,200.0,2024-01-22
PMT00452,C0452,Song_152,200.0,2024-03-25
PMT00453,C0453,Song_153,200.0,2024-03-20
PMT00454,C0454,Song_154,97.58,2024-01-15
PMT00455,C0455,Song_155,238.94,2024-09-20
PMT00456,C0456,Song_156,750.0,2024-08-03
PMT00457,C0457,Song_157,750.0,2024-04-14
PMT00458,C0458,Song_158,500.0,2024-02-23
PMT00459,C0459,Song_159,750.0,2024-02-10
PMT00460,C0460,Song_160,500.0,2024-04-07
PMT00461,C0461,Song_161,200.0,2024-02-02
PMT00462,C0462,Song_162,200.0,2024-07-30
PMT00463,C0463,Song_163,963.68,2024-07-15
PMT00464,C0464,Song_164,500.0,2024-07-24
PMT00465,C0465,Song_165,500.0,2024-03-15
PMT00466,C0466,Song_166,200.0,2024-03-07
PMT00467,C0467,Song_167,200.0,2024-08-01
PMT00468,C0468,Song_168,200.0,2024-02-19
PMT00469,C0469,Song_169,200.0,2024-09-07
PMT00470,C0470,Song_170,750.0,2024-05-07
PMT00471,C0471,Song_171,500.0,2024-05-10
PMT00472,C0472,Song_172,750.0,2024-01-13
PMT00473,C0473,Song_173,-1983.71,2024-03-02
PMT00474,C0474,Song_174,227.3,2024-02-06
PMT00475,C0475,Song_175,750.0,2024-02-04
PMT00476,C0476,Song_176,750.0,2024-02-12
PMT00477,C0477,Song_177,119.83,2024-09-04
PMT00478,C0478,Song_178,200.0,2024-06-22
PMT00479,C0479,Song_179,750.0,2024-05-08
PMT00480,C0480,Song_180,500.0,2024-05-01
PMT00481,C0481,Song_181,750.0,2024-06-10
PMT00482,C0482,Song_182,200.0,2024-07-15
PMT00483,C0483,Song_183,500.0,2024-04-15
PMT00484,C0484,Song_184,500.0,2024-04-05
PMT00485,C0485,Song_185,750.0,2024-07-04
PMT00486,C0486,Song_186,200.0,2024-02-03
PMT00487,C0487,Song_187,-1322.47,2024-06-04
PMT00488,C0488,Song_188,500.0,2024-04-23
PMT00489,C0489,Song_189,750.0,2024-02-21
PMT00490,C0490,Song_190,500.0,2024-02-01
PMT00491,C0491,Song_191,200.0,2024-04-09
PMT00492,C0492,Song_192,855.89,2024-06-05
PMT00493,C0493,Song_193,750.0,2024-07-07
PMT00494,C0494,Song_194,500.0,2024-03-28
PMT00495,C0495,Song_195,200.0,2024-02-14
PMT00496,C0496,Song_196,500.0,2024-08-01
PMT00497,C0497,Song_197,200.0,2024-07-19
PMT00498,C0498,Song_198,750.0,2024-06-08
PMT00499,C0499,Song_199,500.0,2024-02-01
PMT00500,C0500,Song_200,200.0,2024-04-11
PMT00501,C0501,Song_201,200.0,2024-02-17
PMT00502,C0502,Song_202,500.0,2024-03-08
PMT00503,C0503,Song_203,500.0,2024-02-27
PMT00504,C0504,Song_204,750.0,2024-09-19
PMT00505,C0505,Song_205,500.0,2024-04-30
PMT00506,C0506,Song_206,500.0,2024-01-11
PMT00507,C0507,Song_207,750.0,2024-09-14
PMT00508,C0508,Song_208,750.0,2024-08-21
PMT00509,C0509,Song_209,750.0,2024-05-20
PMT00510,C0510,Song_210,500.0,2024-06-15
PMT00511,C0511,Song_211,750.0,2024-05-06
PMT00512,C0512,Song_212,200.0,2024-01-21
PMT00513,C0513,Song_213,500.0,2024-08-19
PMT00514,C0514,Song_214,625.77,2024-09-03
PMT00515,C0515,Song_215,289.21,2024-01-23
PMT00516,C0516,Song_216,200.0,2024-02-03
PMT00517,C0517,Song_217,200.0,2024-02-26
PMT00518,C0518,Song_218,200.0,2024-05-06
PMT00519,C0519,Song_219,200.0,2024-08-04
PMT00520,C0520,Song_220,750.0,2024-06-15
PMT00521,C0521,Song_221,750.0,2024-06-21
PMT00522,C0522,Song_222,500.0,2024-07-21
PMT00523,C0523,Song_223,500.0,2024-04-12
PMT00524,C0524,Song_224,500.0,2024-03-08
