audit_id,contract_id,content_id,studio,expected_payment,actual_payment,difference,violation,timestamp,proof_hash
AUD00017,C0017,Movie_017,Lionsgate,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,d6001e325fab64a4676dacba8f54c53e05dae0d3ec605dd7c20b9129d19c0b5a
AUD00018,C0018,Movie_018,Paramount,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,b1d1d581c561b64c15d9f4408475ab9d58d44cee2c13d0dd9448aa82b949f17e
AUD00019,C0019,Movie_019,Lionsgate,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,ddde976f5000081b813dd539d527b6856e24cceda20d427d7e68784925d63a5c
AUD00020,C0020,Movie_020,Indie Label,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,4fd5b0bc13595315d309266d365111ea401a2499e53adf4eb7b49455af69b0bc
AUD00021,C0021,Movie_021,Netflix Originals,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,c39e65959c4ce2f2ff14f21f3ae85a0f1818cc38e5a7ce895331ee2788d2d834
AUD00022,C0022,Movie_022,Lionsgate,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,d0c8060d37c62fc6cc1cf78292d803218b7124b0bd0b2519cb32b54c81613eb5
AUD00023,C0023,Movie_023,Netflix Originals,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,1255dfcd3290bffc0f6382607b590da8cf2f459a8c285ea9bb608076e1370c05
AUD00024,C0024,Movie_024,MGM,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,dc000fc72af791ebfda67aa34ad9f84956b339c7a7b025b23495cf4ef3e038c6
AUD00025,C0025,Movie_025,Netflix Originals,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,af5d2fa1efedb30d53a9f0142c515b34b9e4250740f953bf9caef1d09ab0866c
AUD00026,C0026,Movie_026,Universal,750.0,831.79,-81.79,OVERPAYMENT,2026-04-02T02:19:27.627697,7a3005eb88a39d42d342356eb3b12a37b5064ad80667f6bf742e717fca33d206
AUD00027,C0027,Movie_027,Universal,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,a3d837d325238d5eca2ae2c10da9d6557b81fc5a71f021b3138d0adcb20282cf
AUD00028,C0028,Movie_028,Disney,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,6452296c69c6a799dad9fca5656313d5197e7ee5116bacf1134c175b8ee506a6
AUD00029,C0029,Movie_029,Indie Label,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,87b54cca9283a18beb3f36e500724f53cf7f99f9187549ffd3c1db319c41a7f6
AUD00030,C0030,Movie_030,Warner Bros,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,828420f16f16aa08cb71ad90ce51d07e1163280bc82b11af3c166d2724e5f0fb
AUD00031,C0031,Movie_031,Lionsgate,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,63a5457b4e580198a6b32cfbc494b0a1704522a65ba2e9e2ccbe8004870577f1
AUD00032,C0032,Movie_032,Disney,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,2685c943c6d4ed956df6ad623a2a56ebbd8443d55407c8065f81b4538dcf2188
AUD00033,C0033,Movie_033,MGM,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,3270590df62298eb5cffbafaac698304c22dc748fd1de4d7597fa90aee2c3e71
AUD00034,C0034,Movie_034,Paramount,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,d46d8f653cba75f58e70d1a7f433bf2dbe99fd3c0f541b3184288fa5f83e6c47
AUD00035,C0035,Movie_035,Paramount,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,db044979262eeb50c13b538c5728c11b2997154064665d7c0a741e2657eb4de6
AUD00036,C0036,Movie_036,Paramount,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,796146c29f0dfee2a0df4afa5a6d55665518743dcb3027fb4645dbf43b1f0005
AUD00037,C0037,Movie_037,Sony Music,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,a4a3338a2a3a4b25e1d213e3d0e120509cce2b021fa4b5bc261373b98ae76623
AUD00038,C0038,Movie_038,Netflix Originals,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,c4b56edb93d2326c8d26df79d06b0fb7807d0369edfba05ff797df5d9fca2a35
AUD00039,C0039,Movie_039,Universal,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,f65288a22aaf8a7759b6a9ef7cc4306be006b67a3587645cee0867f4da2de682
AUD00040,C0040,Movie_040,A24,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,8f066fca5f8a0357803abe2038c3e8173d8513c92fc4f31370dc0ce9bc28e5b3
AUD00041,C0041,Movie_041,Sony Music,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,6d1e6b00eb82c984d2b4e9a9a1a1205b6831865d06bc062fed7985a77320f763
AUD00042,C0042,Movie_042,Warner Bros,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,4e31c1ef32a007c9a18e8a0970708f1f2fdbb49004d23536cb75cfab127ea6fc
AUD00043,C0043,Movie_043,Indie Label,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,0ab89e2e8d36912a9a40c6ae3802a898db675de139acfff9f369dde7a1ee7260
AUD00044,C0044,Movie_044,Netflix Originals,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,e80f7200d380f4d13532859da7c7ac86d8096d0740945f2c43c427e4538181c0
AUD00045,C0045,Movie_045,Indie Label,200.0,-528.99,728.99,EXPIRED_LICENSE,2026-04-02T02:19:27.627697,cca925b22346a09ad82050313c9865fb7e05989c9b674c4da66e0c3194829f9b
AUD00046,C0046,Movie_046,Disney,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,298752a0fe744c565cdfbead1a785b636864896fd83c278d615c0d775b7bdd0b
AUD00047,C0047,Movie_047,Paramount,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,9105f97636bccc824fad8e359a23d6703b181f3153d51f32203295e140bf6e47
AUD00048,C0048,Movie_048,Paramount,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,311f60c94a35db7258528c31370c96d856a0fe0b5efc7e14cc75e934a75f1aac
AUD00049,C0049,Movie_049,Indie Label,200.0,109.46,90.54,UNDERPAYMENT,2026-04-02T02:19:27.627697,49619b6f01a4ee9512bef53bd9179e9ff7143d2f5d760a1873ed60be1b1b43cc
AUD00050,C0050,Movie_050,Warner Bros,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,fbec75952f98baaee25c1f7ea763e48f61e3b75ce35f781be02882b9ccab1fab
AUD00051,C0051,Movie_051,Netflix Originals,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,6a6a987751f01bc28675c724fb8b287611a3c5e32525665d72cec282fbd3261e
AUD00052,C0052,Movie_052,Indie Label,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,27e3739ce275731fac328b1dac5715e54bd87618ece07e03f29fbe6aaf48fd25
AUD00053,C0053,Movie_053,MGM,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,9fdc48820209fa74262664961cdf73f8e4efb7cfbec0f65a0f524807f632f510
AUD00054,C0054,Movie_054,MGM,500.0,-329.22,829.22,TERRITORY_VIOLATION,2026-04-02T02:19:27.627697,fcca04d2097c565ea67527e079ef8666eea62e028dc73b20c0c3312e62edd594
AUD00055,C0055,Movie_055,Sony Music,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,acc2dfd3dcedf9a015ec8ca5080a6d74cc511ab9020413305a9f01802614682b
AUD00056,C0056,Movie_056,Disney,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,6f6727a6dc9edfab2d653f2c3807d11625cfcec8eca5aef459f1889a9d859eee
AUD00057,C0057,Movie_057,Universal,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,6b965e74147e1991733b042751df53dadfa4f1fb63f0a3709060ca081fb7559d
AUD00058,C0058,Movie_058,Warner Bros,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,323a5605ec035fa9d0de6ecdb17fad83391b50a71882830d69d1aaff8f448a35
AUD00059,C0059,Movie_059,Universal,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,8e6bc3b2b0346e9aad72b90f8a7b268a79ff8cb7356c0b391f1318106d54e8a4
AUD00060,C0060,Movie_060,MGM,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,d894ed6363d89c2013d8a26dfff351c9bffd4c2e1f1459c0fcf39998d8947e7e
AUD00061,C0061,Movie_061,A24,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,1afe6dfc2cd432538d83b3f1ced4768ae9aa5566e8af2a49cf1f67fe4950a8ca
AUD00062,C0062,Movie_062,Universal,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,bbf60090f926a4da25d30927545c012bb82d052ce7e24f10a92520f71432f39e
AUD00063,C0063,Movie_063,Sony Music,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,e2e913375c94c28de6f259cfa49ab4d82987439b6c5e5d3b81fa5eef76de9675
AUD00064,C0064,Movie_064,Indie Label,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,8985786113f1112e7d5db9bf21da0d84fffd3404d97779387d6a03782a7e2133
AUD00065,C0065,Movie_065,Paramount,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,2194b3849a4ce9b6af8d4995f604926bf7c0fb5712a5fdd8233c8060d518082a
AUD00066,C0066,Movie_066,A24,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,1ce8a817f434c22bd17c35d6d7130f3b14ebe4ef14bf44fea57f34493f83e3a7
AUD00067,C0067,Movie_067,MGM,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,c82df2a9b42b978eae89ec240fe156e1f57663f1e54978d50ebdbef9c5e0bb75
AUD00068,C0068,Movie_068,A24,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,00dcd3b08885a28e38c6a80fa02f18b8b032ecf27a7707bde08c908648848e4c
AUD00069,C0069,Movie_069,Indie Label,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,33218f3c2245119d4dac2ad22f3fd946a806fd6d1a9b55a0f91016fa40a0dbf8
AUD00070,C0070,Movie_070,Netflix Originals,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,65c3c416b01383505af7ef6389f3a556382949894f38cb400922686b126e7705
AUD00071,C0071,Movie_071,Sony Music,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,ac833976cc598a89510ed5acd62577d78e2e6a1484f95d3da87bd5ec23a1cb13
AUD00072,C0072,Movie_072,Netflix Originals,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,506b8afc814dfd841a0023ac192363219558948d2f8972f45612de9c9c6768a6
AUD00073,C0073,Movie_073,Warner Bros,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,c514e2edc6c2b775c238bf35ba7333dfee303da15d99c0006941f06afef5e5f2
AUD00074,C0074,Movie_074,Disney,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,cf11e3a6a04730ccbb01724ce98fbe6f851e5c141e366930cd9e18b12cf887ce
AUD00075,C0075,Movie_075,Netflix Originals,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,46a1cd7bd91eee738022fc7581c3a9cc5b901cd033f1422025531ff4c8e72342
AUD00076,C0076,Movie_076,A24,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,4c2afeabfcc30a398b68ab893d7ddc7ee3af584c415779f632a074cc33b45756
AUD00077,C0077,Movie_077,A24,750.0,951.57,-201.57,OVERPAYMENT,2026-04-02T02:19:27.627697,7fe0a08ebc2c68d32ff906a7ab3aa52faa9ac85ab616578caed446412ba25753
AUD00078,C0078,Movie_078,A24,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,a4e77611ee6abf5051216193b340501144d9e52ce4b5f65028c06cc893160b84
AUD00079,C0079,Movie_079,Netflix Originals,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,0cb01b3fc9a756603f21cb605a07fe9f1e35c2370a4e6be9dab474774a78a50f
AUD00080,C0080,Movie_080,Paramount,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,4adfe49f134b4d71e92b6a79cd0caa4180b4323d1639305436d8f540397030bc
AUD00081,C0081,Movie_081,A24,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,79d4b5589b7e7347636bb96be08a5ffeda7cb06fc6880461359956e5875b79e1
AUD00082,C0082,Movie_082,Disney,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,59060ad6d1020cb29344623fb677a43069b89978c299c38cae18d51dca29fdb5
AUD00083,C0083,Movie_083,Lionsgate,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,9ccdd6e75e2e499b284a3f0c72df266e34f6c2778f24b9090bbd54ac0bc64789
AUD00084,C0084,Movie_084,Netflix Originals,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,0ca0c2b75e74858532374df8134bd68c4ef70587df58d55e97b4ff85a6e0340f
AUD00085,C0085,Movie_085,MGM,750.0,245.43,504.57,UNDERPAYMENT,2026-04-02T02:19:27.627697,e953596b1f576081a648df2b6be86f598fae5d3323df56309326c270a7215d7c
AUD00086,C0086,Movie_086,Paramount,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,0bf37ce7d78dbb53a69b92718dcef5ffb486489a1fda80bc4f76829fb3a7f7e8
AUD00087,C0087,Movie_087,Sony Music,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,688511e04d39aa28a007efa48517f5a4bcf17f2976b422e2383272b6c930460a
AUD00088,C0088,Movie_088,Sony Music,500.0,-1322.47,1822.47,EXPIRED_LICENSE,2026-04-02T02:19:27.627697,a7c742403bd86a51836cd017fa8beb8b52bb735e9aa1e41f170847c2d2eca057
AUD00089,C0089,Movie_089,Warner Bros,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,d7aa44815ade5818d614176a07be8e515dbd40c273636509387de91f8c31b0be
AUD00090,C0090,Movie_090,MGM,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,e975aa381af6b6f910512c4117f7621ba6b6bb1b12e1e340b160ef38b2411379
AUD00091,C0091,Movie_091,Indie Label,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,1d4ee10ff8566dbf51c5ff8c18dde286772473caaea0866e98b1f87d83361d50
AUD00092,C0092,Movie_092,Universal,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,7bdded44728eb5cb5016d4ed5f1004d2891f1249cac0396f76d2ca483e560885
AUD00093,C0093,Movie_093,A24,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,8eb6d99ae4ce55a861bb93a31df29de2bb40de73b18b4d8cc2728af7afe67188
AUD00094,C0094,Movie_094,Paramount,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,5f7dbded2c8303ff6641834829c185630aeb88f8095d1e504c0dcf836256278d
AUD00095,C0095,Movie_095,Sony Music,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,769c260394f7bf3e3ebe5eda28ad84a01db503c97eeb6a8b9a4e83517b6c53be
AUD00096,C0096,Movie_096,Paramount,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,460aafd2c10b39862ac4300d849cc7a97202aaa54dd39cd81c6caebec26158cb
AUD00097,C0097,Movie_097,A24,200.0,117.33,82.67,UNDERPAYMENT,2026-04-02T02:19:27.627697,c527fd8ea47f97febdd6444e0ac3f4d1a90c263ad7dfac708f6f5db03b14b327
AUD00098,C0098,Movie_098,MGM,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,c6aef2a72d603e26824b37257103018b790c5abc54f06e90d307b4c4f6abe6b7
AUD00099,C0099,Movie_099,Lionsgate,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,abba5488b7b9503c43511941fdff2ba9806328c761154b9a7d5425173fb41d8f
AUD00100,C0100,Movie_100,Indie Label,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,04e93dff7fee3ddeaa06812824c509def3cae04ead1223e05863b355377ba19a
AUD00101,C0101,Movie_101,Indie Label,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,ab4d97fbbe1fffa6164e11cb0e830be6ffa877bb92588e0d20a3ba9826a0094a
AUD00102,C0102,Movie_102,Indie Label,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,764b578f3b0c95ac1ef58d37af7641aa27edd3da9ff5184fb93cdefbb2265058
AUD00103,C0103,Movie_103,Netflix Originals,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,c9641ce956d5226a154a0e8e901d4125bbad5653a38800de90acd88b080be2b0
AUD00104,C0104,Movie_104,Paramount,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,71ec05f36af5eebebad629d386c749c306ccf8fa36ab7a6d1307a608566d7cf7
AUD00105,C0105,Movie_105,Warner Bros,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,739cae5f7f93cf4710463fda9bb564ad820abfd825cc08248c511ab9b6c593de
AUD00106,C0106,Movie_106,Sony Music,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,8ea2cd8b7ebbc1418becfae7c2f708c79c0648d5aeb3e78a3e709981b08eb121
AUD00107,C0107,Movie_107,A24,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,c478154e9d6cda5468a40508dcb4178934c2098995afb78169e156c86be50460
AUD00108,C0108,Movie_108,Universal,500.0,555.4,-55.4,OVERPAYMENT,2026-04-02T02:19:27.627697,4e2799844bfb56761522feb0b0065e912bc657b3ae2fee4c55088f6eca6b1211
AUD00109,C0109,Movie_109,Paramount,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,17037c439f1457fa9c51db8d2d327d896f271e92bc39660fe4a428966b329120
AUD00110,C0110,Movie_110,Lionsgate,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,f111224665179663404577fabba3ec1cd6670f5e337a9863328cf1a20cfe3e08
AUD00111,C0111,Movie_111,Indie Label,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,42e74c2df527b25a744418dee7fbc02a6def7eef77a132ba0c532bee45a9bbf0
AUD00112,C0112,Movie_112,Sony Music,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,51ec72a006f0ff5031418e93b4eaf1afba4d8cdd58b647998dc182b5cbfb97fc
AUD00113,C0113,Movie_113,A24,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,8b53e2d513ba6f1c7d55bbf87aaba7329c5853918804173f426ee897852cf106
AUD00114,C0114,Movie_114,Universal,500.0,152.82,347.18,UNDERPAYMENT,2026-04-02T02:19:27.627697,eebd80de171369c0d7e0d35e25b857cd0751a76008c18c9a392efd73c86fa8dc
AUD00115,C0115,Movie_115,Lionsgate,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,22243020f39a3ff7630185f4eb383cf3059deb2ec358b9563250959be7c30b5b
AUD00116,C0116,Movie_116,Paramount,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,ccc113ae1b8eecb42f2c28fb0d21666cc5a9d68aca91d2ab0e4c8b3d10b8da51
AUD00117,C0117,Movie_117,Warner Bros,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,35c7f6e7b1447d9187d05e0744f835c02ef5c213a41c6ee5aaf28e593673e906
AUD00118,C0118,Movie_118,MGM,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,38e340b957d9fd15ac4b3c3512e9de528703fa44f94037bea10a5e79448a14ac
AUD00119,C0119,Movie_119,MGM,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,7925cce0ce7ab2d471e327ba6f038bfd8bbc84a16a6d06717d796abcaafed50c
AUD00120,C0120,Movie_120,A24,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,d6de77cff400d4600c647e4dfe0fd3cc5a37a77265b86ed4668590a100891397
AUD00121,C0121,Movie_121,Paramount,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,e42acc960f146f29eb0a10470a250227a36af958290a95b089d07857a6595ace
AUD00122,C0122,Movie_122,A24,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,21a1f11c0532e445d426e4e10fe2a60a77035797244a675bf15beda782a3ac60
AUD00123,C0123,Movie_123,Indie Label,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,673e2f7fb5329b06b49a408a11bc4d62b563671cd7895b705f68c88b9fe3fff3
AUD00124,C0124,Movie_124,Disney,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,0654dccbd0d0bd7ac1532d2f97168c0f8918eebfcd22975984a5c58b9373a550
AUD00125,C0125,Movie_125,Sony Music,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,e8be77a691a2f5c5a1776cea27764d4461c62531fee10c5cb171c251c65d7908
AUD00126,C0126,Movie_126,Sony Music,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,a856be83743a777d94405b8dcff93963285cea79d52d694789e5346c9a612a9d
AUD00127,C0127,Movie_127,Netflix Originals,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,9f9adff77158790986e0b2ace0ca90143250bc7942065aa756f642054d6b4d0f
AUD00128,C0128,Movie_128,Universal,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,7ec15a3db1e0ba780a06bb0d7e152b6119eb2fc70836ea48c8ca34e355c75134
AUD00129,C0129,Movie_129,Netflix Originals,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,2d41b040e0fc58ed085547f1a2e07fb2bf3bc280b719a9e068eb00ccdb6c694d
AUD00130,C0130,Movie_130,Paramount,500.0,-555.72,1055.72,TERRITORY_VIOLATION,2026-04-02T02:19:27.627697,8fb71dd71e434c5d25e80d30f6efbdd7687936d4511a96a5a2b27af7cfd1a624
AUD00131,C0131,Movie_131,Lionsgate,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,9f78da1bddf695d2f99cd351de60a0b97d726243c59ec3ef3df1d85c48a13637
AUD00132,C0132,Movie_132,Indie Label,200.0,221.84,-21.84,OVERPAYMENT,2026-04-02T02:19:27.627697,d668b8c5b941248ceb132ebfa4bef6380db5c55776898853d07b6024dad66284
AUD00133,C0133,Movie_133,Sony Music,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,88039e5d8431da8d3d9e1259f13f2324f60c2b2e9c965eed915ec5de11340f65
AUD00134,C0134,Movie_134,Indie Label,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,fda3e3bf2bd32a16bd21ab81a7af307ea3f12ace4cf01bec3ae07e09a522977a
AUD00135,C0135,Movie_135,A24,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,35b2d866e2ae54d96de81baced8e934876afd74d4ea7852292f5aa6dcc43e587
AUD00136,C0136,Movie_136,Universal,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,5780fb4b7a06438c44b9d04f9591fe132899cfd5c5a5d3c7af7f7848e7e10185
AUD00137,C0137,Movie_137,Sony Music,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,b0b9fc1334f16f752f00a3eac53c9dbf152319af3c87874e523da41e0bdcdf31
AUD00138,C0138,Movie_138,Disney,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,fd7cccf9494fe80ed5aaa73348217625a53e6236fb2bbdb34388c3e113948856
AUD00139,C0139,Movie_139,Sony Music,200.0,200.0,0.0,NONE,2026-04-02T02:19:27.627697,8adf362b94a6370933578c60974f251908f37e036f235423071c0eca9e5816e7
AUD00140,C0140,Movie_140,Paramount,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,c16e37da367817cdcb5dedba05e5507d0df4bee1ad954ace7c76046c7b79f009
AUD00141,C0141,Movie_141,Lionsgate,750.0,750.0,0.0,NONE,2026-04-02T02:19:27.627697,852d934945cddc2201fa9bd36c5ee89c686f2b7c25f1c8cfafb4b81caa525abd
AUD00142,C0142,Movie_142,Lionsgate,200.0,55.41,144.59,UNDERPAYMENT,2026-04-02T02:19:27.627697,d0c2f8964e39817a87df179f4bee0e58b7293d0147ed854781f96feb1a4aec14
AUD00143,C0143,Movie_143,A24,500.0,500.0,0.0,NONE,2026-04-02T02:19:27.627697,268c90fb9a84e360b592864bd8937524b378b9783ec64848d544f5f1e0506360
