contract_id,content_id,studio,royalty_rate,rate_per_play,territory,start_date,end_date,tier_threshold,tier_rate,min_guarantee
C0048,Movie_048,Paramount,9.8,0.0757,"US,CA,UK",2023-10-02,2025-03-04,100000,0.044,200.0
C0049,Movie_049,Indie Label,14.1,0.0342,"US,CA",2023-11-02,2025-07-18,250000,0.0261,200.0
C0050,Movie_050,Warner Bros,13.2,0.0278,"JP,DE",2023-10-23,2024-10-31,250000,0.0206,750.0
C0051,Movie_051,Netflix Originals,14.2,0.0355,"US,CA,UK",2023-12-10,2024-12-25,250000,0.0202,200.0
C0052,Movie_052,Indie Label,15.0,0.0316,"US,CA,UK",2023-06-03,2025-05-02,250000,0.0209,200.0
C0053,Movie_053,MGM,13.7,0.0574,US,2023-08-04,2025-02-22,100000,0.0456,750.0
C0054,Movie_054,MGM,14.1,0.0301,"IN,JP,DE",2023-01-01,2024-05-06,100000,0.02,500.0
C0055,Movie_055,Sony Music,14.6,0.0458,"JP,DE",2023-08-15,2024-09-16,100000,0.035,750.0
C0056,Movie_056,Disney,14.7,0.0165,"US,CA,UK",2023-11-21,2025-04-27,50000,0.0133,200.0
C0057,Movie_057,Universal,12.6,0.0271,US,2023-01-13,2023-08-28,250000,0.0184,750.0
C0058,Movie_058,Warner Bros,16.9,0.0446,US,2023-12-23,2025-07-18,50000,0.0275,500.0
C0059,Movie_059,Universal,12.6,0.0425,US,2023-04-01,2025-03-11,100000,0.0298,750.0
C0060,Movie_060,MGM,16.2,0.0765,"UK,FR,AU",2023-10-14,2025-03-01,250000,0.0605,500.0
C0061,Movie_061,A24,12.5,0.0728,"IN,JP,DE",2023-10-08,2025-07-05,50000,0.0547,750.0
C0062,Movie_062,Universal,15.1,0.0539,"IN,BR",2023-09-24,2025-07-31,50000,0.0336,500.0
C0063,Movie_063,Sony Music,15.1,0.0197,"IN,BR",2023-06-13,2024-03-01,50000,0.0121,500.0
C0064,Movie_064,Indie Label,11.9,0.0391,"JP,DE",2023-06-19,2025-04-06,250000,0.0237,750.0
C0065,Movie_065,Paramount,15.5,0.0434,"US,CA",2023-10-22,2025-05-13,100000,0.0349,750.0
C0066,Movie_066,A24,8.3,0.0442,"US,CA,UK",2023-10-07,2024-11-15,100000,0.0276,750.0
C0067,Movie_067,MGM,13.3,0.0688,"US,CA,UK",2023-07-27,2024-07-10,100000,0.0549,750.0
C0068,Movie_068,A24,9.8,0.0159,"UK,FR,AU",2023-12-06,2024-06-30,100000,0.0106,500.0
C0069,Movie_069,Indie Label,10.8,0.0329,"IN,BR",2023-04-19,2025-01-23,100000,0.0249,500.0
C0070,Movie_070,Netflix Originals,10.2,0.0114,"IN,JP,DE",2023-02-11,2024-12-03,50000,0.0079,750.0
C0071,Movie_071,Sony Music,10.4,0.024,"US,CA",2023-01-16,2024-03-24,100000,0.0133,750.0
C0072,Movie_072,Netflix Originals,9.7,0.0426,"US,CA",2023-10-16,2024-11-22,250000,0.0264,750.0
C0073,Movie_073,Warner Bros,17.3,0.0775,"US,CA,UK",2023-02-28,2024-02-10,250000,0.0449,750.0
C0074,Movie_074,Disney,9.0,0.0153,"JP,DE",2023-07-23,2024-08-09,100000,0.0113,750.0
C0075,Movie_075,Netflix Originals,8.7,0.0343,"UK,FR,AU",2023-03-03,2023-10-11,250000,0.0228,500.0
C0076,Movie_076,A24,15.1,0.0174,"US,CA",2023-08-04,2025-06-15,100000,0.0141,200.0
C0077,Movie_077,A24,12.6,0.0531,"US,CA,UK",2023-09-25,2024-12-24,250000,0.0424,750.0
C0078,Movie_078,A24,10.4,0.0682,"IN,BR",2023-06-15,2024-08-19,100000,0.0391,750.0
C0079,Movie_079,Netflix Originals,9.8,0.0335,"UK,FR,AU",2023-12-09,2025-06-29,50000,0.0229,500.0
C0080,Movie_080,Paramount,13.6,0.0296,"IN,JP,DE",2023-05-13,2024-10-22,250000,0.021,200.0
C0081,Movie_081,A24,14.5,0.0442,"US,CA",2023-05-04,2024-12-20,100000,0.0334,500.0
C0082,Movie_082,Disney,11.1,0.0306,"IN,JP,DE",2023-01-09,2023-10-11,250000,0.0202,500.0
C0083,Movie_083,Lionsgate,11.3,0.0341,"JP,DE",2023-10-11,2025-10-03,250000,0.0279,500.0
C0084,Movie_084,Netflix Originals,9.2,0.0261,"IN,BR",2023-06-06,2024-08-16,250000,0.0194,750.0
C0085,Movie_085,MGM,17.8,0.0617,US,2023-04-09,2024-05-14,250000,0.0385,750.0
C0086,Movie_086,Paramount,8.1,0.0307,"IN,BR",2023-02-21,2024-03-05,250000,0.0199,200.0
C0087,Movie_087,Sony Music,14.4,0.0487,"IN,BR",2023-01-24,2023-09-16,100000,0.036,200.0
C0088,Movie_088,Sony Music,17.7,0.0429,"IN,JP,DE",2023-01-07,2024-04-22,100000,0.0287,500.0
C0089,Movie_089,Warner Bros,9.5,0.0444,"US,CA",2023-02-03,2024-09-15,250000,0.0313,500.0
C0090,Movie_090,MGM,15.9,0.0491,"US,CA",2023-05-08,2024-03-04,50000,0.0325,750.0
C0091,Movie_091,Indie Label,11.1,0.0308,"JP,DE",2023-08-19,2025-05-13,250000,0.0218,200.0
C0092,Movie_092,Universal,9.6,0.0538,"UK,FR,AU",2023-02-20,2024-03-18,50000,0.0334,750.0
C0093,Movie_093,A24,10.9,0.0386,"US,CA",2023-03-22,2023-09-20,50000,0.0284,500.0
C0094,Movie_094,Paramount,15.9,0.015,"US,CA,UK",2023-05-25,2025-02-27,250000,0.0092,750.0
C0095,Movie_095,Sony Music,17.1,0.018,"US,CA,UK",2023-04-12,2024-12-17,50000,0.011,200.0
C0096,Movie_096,Paramount,12.4,0.0517,"US,CA",2023-03-26,2024-08-01,100000,0.0399,750.0
C0097,Movie_097,A24,12.4,0.076,"IN,BR",2023-12-25,2025-08-08,250000,0.0521,200.0
C0098,Movie_098,MGM,13.9,0.0118,"JP,DE",2023-06-15,2024-08-24,50000,0.0072,750.0
C0099,Movie_099,Lionsgate,14.5,0.0634,"IN,JP,DE",2023-05-18,2023-12-25,100000,0.0379,200.0
C0100,Movie_100,Indie Label,11.3,0.0778,"UK,FR,AU",2023-08-12,2025-06-25,250000,0.0527,200.0
C0101,Movie_101,Indie Label,16.1,0.0388,"IN,JP,DE",2023-03-24,2024-08-22,250000,0.0265,200.0
C0102,Movie_102,Indie Label,16.6,0.0277,"JP,DE",2023-02-15,2024-07-01,50000,0.0161,750.0
C0103,Movie_103,Netflix Originals,14.2,0.0389,"IN,JP,DE",2023-10-05,2025-07-19,100000,0.0234,750.0
C0104,Movie_104,Paramount,12.4,0.0287,"JP,DE",2023-01-27,2024-02-19,250000,0.0168,500.0
C0105,Movie_105,Warner Bros,13.5,0.0597,"US,CA",2023-01-15,2024-03-15,50000,0.0378,200.0
C0106,Movie_106,Sony Music,13.0,0.0763,"IN,JP,DE",2023-02-28,2024-12-11,250000,0.0553,500.0
C0107,Movie_107,A24,10.4,0.0391,"UK,FR,AU",2023-12-28,2025-03-31,250000,0.0266,200.0
C0108,Movie_108,Universal,10.8,0.0622,"JP,DE",2023-04-08,2025-03-08,100000,0.0365,500.0
C0109,Movie_109,Paramount,16.4,0.0674,"IN,JP,DE",2023-09-17,2024-12-13,250000,0.0422,750.0
C0110,Movie_110,Lionsgate,15.6,0.0477,"JP,DE",2023-03-18,2024-12-14,100000,0.0307,500.0
C0111,Movie_111,Indie Label,8.4,0.05,"IN,BR",2023-04-07,2024-06-04,250000,0.0307,500.0
C0112,Movie_112,Sony Music,13.0,0.0792,"US,CA,UK",2023-07-15,2025-02-09,50000,0.0605,200.0
C0113,Movie_113,A24,9.0,0.0709,"UK,FR,AU",2023-10-30,2025-04-01,100000,0.0557,200.0
C0114,Movie_114,Universal,12.7,0.071,"US,CA,UK",2023-03-15,2024-11-03,100000,0.0576,500.0
C0115,Movie_115,Lionsgate,11.8,0.0555,"UK,FR,AU",2023-12-21,2025-07-30,100000,0.0433,750.0
C0116,Movie_116,Paramount,18.0,0.0532,"US,CA,UK",2023-09-07,2024-04-10,250000,0.0326,200.0
C0117,Movie_117,Warner Bros,8.5,0.0411,"JP,DE",2023-02-20,2023-11-29,50000,0.0303,500.0
C0118,Movie_118,MGM,14.8,0.0202,"IN,BR",2023-07-11,2025-03-23,50000,0.014,200.0
C0119,Movie_119,MGM,9.4,0.0534,US,2023-02-10,2024-09-03,100000,0.0328,750.0
C0120,Movie_120,A24,17.0,0.0567,"IN,BR",2023-08-24,2024-11-07,250000,0.0449,750.0
C0121,Movie_121,Paramount,14.4,0.0762,US,2023-02-07,2024-10-31,100000,0.0622,750.0
C0122,Movie_122,A24,9.1,0.0239,"IN,BR",2023-08-22,2024-12-23,100000,0.0156,750.0
C0123,Movie_123,Indie Label,10.7,0.0795,"IN,BR",2023-10-22,2025-02-15,250000,0.0501,750.0
C0124,Movie_124,Disney,14.1,0.0683,"IN,JP,DE",2023-01-26,2024-12-14,100000,0.0542,200.0
C0125,Movie_125,Sony Music,14.3,0.0574,"US,CA,UK",2023-04-08,2024-06-17,250000,0.0427,750.0
C0126,Movie_126,Sony Music,8.9,0.0123,"US,CA",2023-06-08,2025-02-28,100000,0.008,500.0
C0127,Movie_127,Netflix Originals,13.3,0.0241,"US,CA,UK",2023-08-01,2024-07-25,100000,0.0184,200.0
C0128,Movie_128,Universal,12.7,0.0623,"IN,BR",2023-09-04,2024-12-29,50000,0.04,200.0
C0129,Movie_129,Netflix Originals,8.9,0.0777,"IN,JP,DE",2023-04-26,2024-12-02,100000,0.0596,200.0
C0130,Movie_130,Paramount,13.8,0.0418,"IN,BR",2023-10-02,2024-08-03,250000,0.0306,500.0
C0131,Movie_131,Lionsgate,11.3,0.043,"US,CA",2023-12-12,2025-02-03,250000,0.0308,200.0
C0132,Movie_132,Indie Label,9.2,0.0737,"US,CA,UK",2023-02-02,2024-11-18,50000,0.0465,200.0
C0133,Movie_133,Sony Music,11.9,0.0168,"IN,BR",2023-09-10,2024-07-04,100000,0.0133,750.0
C0134,Movie_134,Indie Label,14.5,0.0511,"US,CA,UK",2023-12-23,2025-08-23,100000,0.0381,750.0
C0135,Movie_135,A24,17.5,0.0583,"JP,DE",2023-05-24,2023-12-23,100000,0.0355,200.0
C0136,Movie_136,Universal,17.5,0.0142,"US,CA,UK",2023-07-08,2025-01-05,100000,0.0089,200.0
C0137,Movie_137,Sony Music,15.9,0.0135,"US,CA,UK",2023-04-19,2023-11-06,50000,0.0086,200.0
C0138,Movie_138,Disney,11.3,0.051,"IN,JP,DE",2023-10-11,2024-11-06,50000,0.0392,750.0
C0139,Movie_139,Sony Music,9.1,0.0791,"US,CA",2023-05-22,2024-04-14,50000,0.055,200.0
C0140,Movie_140,Paramount,8.5,0.0512,"US,CA",2023-07-03,2024-08-29,250000,0.0284,500.0
C0141,Movie_141,Lionsgate,13.9,0.0433,"UK,FR,AU",2023-02-28,2023-10-31,100000,0.0329,750.0
C0142,Movie_142,Lionsgate,11.0,0.0609,US,2023-11-11,2024-06-22,250000,0.0484,200.0
C0143,Movie_143,A24,8.7,0.0398,"US,CA",2023-09-03,2025-04-16,50000,0.0231,500.0
C0144,Movie_144,MGM,13.5,0.0188,"UK,FR,AU",2023-03-17,2023-11-19,100000,0.0135,500.0
C0145,Movie_145,Universal,15.9,0.0418,"UK,FR,AU",2023-09-29,2025-01-22,50000,0.0298,750.0
C0146,Movie_146,Indie Label,11.4,0.0401,"US,CA,UK",2023-10-10,2024-11-13,100000,0.0317,500.0
C0147,Movie_147,Netflix Originals,17.5,0.0399,"JP,DE",2023-02-18,2024-07-02,250000,0.0291,500.0
C0148,Movie_148,Netflix Originals,16.1,0.0165,"US,CA",2023-02-16,2023-11-10,250000,0.0095,200.0
C0149,Movie_149,Indie Label,16.7,0.0569,"UK,FR,AU",2023-10-15,2025-03-15,250000,0.0376,200.0
C0150,Movie_150,Disney,9.5,0.0346,"IN,BR",2023-11-04,2025-03-17,100000,0.0244,200.0
C0151,Movie_151,Paramount,13.7,0.0692,"IN,JP,DE",2023-02-25,2024-08-16,100000,0.0449,750.0
C0152,Movie_152,Paramount,8.3,0.0526,"IN,JP,DE",2023-11-15,2024-06-08,100000,0.0383,750.0
C0153,Movie_153,Sony Music,13.7,0.0346,"IN,JP,DE",2023-06-08,2024-11-16,100000,0.0207,200.0
C0154,Movie_154,Indie Label,12.2,0.0164,US,2023-11-21,2024-06-19,100000,0.0114,200.0
C0155,Movie_155,Universal,16.8,0.0644,"IN,BR",2023-06-09,2024-11-02,50000,0.0453,200.0
C0156,Movie_156,Indie Label,12.9,0.0572,"IN,JP,DE",2023-11-13,2024-06-30,100000,0.0357,500.0
C0157,Movie_157,Paramount,14.8,0.018,"IN,BR",2023-04-21,2025-03-25,250000,0.012,500.0
C0158,Movie_158,MGM,8.5,0.0132,"UK,FR,AU",2023-12-08,2025-04-16,50000,0.0087,500.0
C0159,Movie_159,A24,15.5,0.0303,US,2023-03-12,2024-05-26,50000,0.0176,200.0
C0160,Movie_160,Netflix Originals,8.7,0.045,"JP,DE",2023-09-30,2024-11-18,250000,0.0349,200.0
C0161,Movie_161,MGM,12.3,0.0745,"JP,DE",2023-01-10,2024-10-21,100000,0.0583,750.0
C0162,Movie_162,Netflix Originals,9.7,0.0181,"US,CA,UK",2023-08-02,2024-11-20,250000,0.0101,500.0
C0163,Movie_163,Disney,12.4,0.0162,"IN,JP,DE",2023-12-20,2025-06-22,100000,0.0126,750.0
C0164,Movie_164,Sony Music,8.8,0.0622,"US,CA",2023-07-22,2024-11-30,250000,0.0379,200.0
C0165,Movie_165,Sony Music,10.4,0.0734,"UK,FR,AU",2023-09-19,2024-10-01,50000,0.0473,500.0
C0166,Movie_166,Sony Music,17.5,0.0632,US,2023-03-30,2024-02-29,250000,0.0459,500.0
C0167,Movie_167,MGM,11.2,0.0577,"JP,DE",2023-10-16,2025-07-16,250000,0.0455,500.0
C0168,Movie_168,Paramount,13.9,0.0428,US,2023-08-14,2024-04-19,100000,0.0308,750.0
C0169,Movie_169,Paramount,8.8,0.0416,"US,CA",2023-06-08,2025-03-21,50000,0.0235,750.0
C0170,Movie_170,Warner Bros,12.5,0.0424,"UK,FR,AU",2023-09-17,2025-04-12,250000,0.0297,750.0
C0171,Movie_171,A24,9.0,0.0451,US,2023-06-14,2025-04-11,100000,0.0365,750.0
C0172,Movie_172,A24,13.2,0.0127,"US,CA",2023-09-16,2024-09-06,250000,0.0094,200.0
C0173,Movie_173,MGM,8.5,0.0371,"IN,BR",2023-07-10,2024-10-21,250000,0.0282,750.0
C0174,Movie_174,Paramount,10.5,0.0166,"IN,BR",2023-02-03,2024-07-04,250000,0.0122,750.0
C0175,Movie_175,Netflix Originals,11.1,0.0157,"IN,JP,DE",2023-03-18,2024-08-20,250000,0.0114,750.0
C0176,Movie_176,Paramount,13.6,0.0517,"US,CA,UK",2023-07-20,2024-05-27,250000,0.0415,500.0
C0177,Movie_177,Lionsgate,11.6,0.0165,"IN,JP,DE",2023-03-07,2025-02-23,100000,0.0121,500.0
C0178,Movie_178,Disney,18.0,0.0763,US,2023-04-20,2024-09-30,50000,0.052,200.0
C0179,Movie_179,Lionsgate,8.4,0.064,"IN,BR",2023-02-21,2025-01-20,100000,0.0496,750.0
C0180,Movie_180,MGM,16.1,0.0208,US,2023-11-02,2025-05-20,50000,0.0125,750.0
C0181,Movie_181,A24,14.1,0.0355,"JP,DE",2023-01-23,2024-09-14,250000,0.0264,500.0
C0182,Movie_182,A24,17.0,0.0317,US,2023-10-01,2024-11-28,50000,0.0244,500.0
C0183,Movie_183,Indie Label,13.0,0.0423,"US,CA,UK",2023-10-20,2025-07-12,100000,0.0265,200.0
C0184,Movie_184,A24,16.7,0.0711,"IN,JP,DE",2023-04-13,2024-02-28,250000,0.0401,200.0
C0185,Movie_185,Paramount,12.5,0.03,"US,CA,UK",2023-09-22,2024-07-25,250000,0.0227,200.0
C0186,Movie_186,A24,16.8,0.0762,"IN,JP,DE",2023-08-12,2024-05-11,50000,0.0465,500.0
C0187,Movie_187,Universal,11.7,0.0362,"US,CA",2023-07-22,2025-06-15,50000,0.0237,500.0
C0188,Movie_188,Paramount,17.2,0.0654,"US,CA",2024-01-01,2025-06-07,100000,0.0384,750.0
C0189,Movie_189,Universal,8.2,0.0414,"IN,JP,DE",2023-03-13,2025-01-01,50000,0.0228,200.0
C0190,Movie_190,Disney,11.0,0.0396,"UK,FR,AU",2023-11-08,2025-10-28,50000,0.0301,200.0
C0191,Movie_191,A24,14.0,0.0144,"JP,DE",2023-11-24,2025-09-02,50000,0.0112,750.0
C0192,Movie_192,Warner Bros,14.1,0.0603,"UK,FR,AU",2023-10-22,2024-12-22,50000,0.0379,750.0
C0193,Movie_193,Lionsgate,13.4,0.0466,"JP,DE",2023-04-06,2023-12-29,250000,0.0302,750.0
C0194,Movie_194,Netflix Originals,10.5,0.013,"US,CA",2023-07-19,2025-05-10,50000,0.0085,500.0
C0195,Movie_195,Universal,15.7,0.0269,"IN,JP,DE",2023-02-04,2024-07-21,250000,0.0196,500.0
C0196,Movie_196,Sony Music,16.3,0.0482,US,2023-01-23,2024-07-16,250000,0.0371,500.0
C0197,Movie_197,A24,8.4,0.0668,"US,CA,UK",2023-09-03,2024-09-03,50000,0.0379,200.0
C0198,Movie_198,Indie Label,17.9,0.0321,"IN,JP,DE",2023-04-13,2023-11-21,250000,0.0203,500.0
C0199,Movie_199,Warner Bros,16.7,0.03,"IN,BR",2023-01-19,2024-01-29,100000,0.0235,500.0
C0200,Movie_200,Indie Label,11.4,0.0723,"US,CA",2023-07-08,2025-03-26,50000,0.0543,500.0
C0201,Movie_201,Universal,15.3,0.0747,"US,CA,UK",2023-09-12,2025-03-21,50000,0.0516,500.0
C0202,Movie_202,Paramount,11.1,0.0325,"UK,FR,AU",2023-04-03,2024-07-26,250000,0.0186,750.0
C0203,Movie_203,Netflix Originals,14.1,0.0346,"JP,DE",2023-03-27,2024-12-20,100000,0.0194,500.0
C0204,Movie_204,Lionsgate,16.0,0.057,"US,CA,UK",2023-01-30,2023-10-13,250000,0.0376,200.0
C0205,Movie_205,Netflix Originals,11.6,0.0124,"US,CA",2023-03-15,2024-12-02,250000,0.007,200.0
C0206,Movie_206,Universal,13.7,0.0764,"UK,FR,AU",2023-03-20,2024-12-19,250000,0.0497,500.0
C0207,Movie_207,Sony Music,13.0,0.0275,"JP,DE",2023-06-10,2024-09-17,100000,0.016,750.0
C0208,Movie_208,MGM,10.9,0.0593,"US,CA",2023-05-15,2024-08-03,100000,0.0361,200.0
C0209,Movie_209,A24,18.0,0.0416,"US,CA",2023-03-11,2023-11-21,250000,0.033,500.0
C0210,Movie_210,Paramount,16.5,0.0485,"US,CA,UK",2023-06-27,2024-02-28,250000,0.0305,750.0
C0211,Movie_211,Universal,17.9,0.0656,"US,CA,UK",2023-11-23,2024-11-15,50000,0.0451,200.0
C0212,Movie_212,A24,16.0,0.0353,"IN,JP,DE",2023-09-10,2024-04-03,250000,0.0249,200.0
C0213,Movie_213,A24,13.3,0.0317,"UK,FR,AU",2023-02-14,2023-10-19,100000,0.026,750.0
C0214,Movie_214,Lionsgate,11.4,0.055,"US,CA",2023-03-06,2024-07-22,250000,0.0369,750.0
C0215,Movie_215,Warner Bros,16.3,0.0403,"UK,FR,AU",2023-04-04,2024-02-10,250000,0.0321,200.0
C0216,Movie_216,Netflix Originals,17.5,0.0326,"IN,BR",2023-03-26,2024-03-05,250000,0.0242,500.0
C0217,Movie_217,Paramount,9.3,0.0237,"IN,JP,DE",2023-02-10,2024-04-21,100000,0.0192,750.0
C0218,Movie_218,MGM,9.5,0.0549,"UK,FR,AU",2023-02-17,2025-01-11,250000,0.039,750.0
C0219,Movie_219,Warner Bros,8.8,0.069,"US,CA,UK",2023-11-06,2025-04-14,250000,0.0485,750.0
C0220,Movie_220,Warner Bros,13.0,0.0637,"IN,BR",2023-11-30,2024-12-29,250000,0.0422,750.0
C0221,Movie_221,Indie Label,11.0,0.0438,"IN,BR",2023-11-25,2025-03-28,50000,0.0336,750.0
C0222,Movie_222,Netflix Originals,14.1,0.0391,"US,CA",2023-03-22,2024-12-11,100000,0.0264,750.0
C0223,Movie_223,Lionsgate,9.1,0.0192,"IN,BR",2023-06-26,2025-02-03,50000,0.0125,500.0
C0224,Movie_224,Paramount,17.5,0.0274,"US,CA",2023-05-17,2025-02-15,250000,0.0158,500.0
C0225,Movie_225,Disney,15.6,0.0754,US,2023-03-23,2024-08-19,100000,0.0562,750.0
C0226,Movie_226,Indie Label,13.1,0.0448,"JP,DE",2023-09-13,2025-01-20,50000,0.0257,200.0
C0227,Movie_227,A24,10.9,0.0135,"UK,FR,AU",2023-06-30,2024-02-14,50000,0.0092,200.0
C0228,Movie_228,Netflix Originals,8.5,0.0609,"JP,DE",2023-03-10,2024-06-02,50000,0.0461,750.0
C0229,Movie_229,Lionsgate,12.5,0.0487,"UK,FR,AU",2023-04-10,2024-10-12,250000,0.0278,500.0
C0230,Movie_230,Netflix Originals,15.9,0.019,"IN,JP,DE",2023-11-16,2024-09-12,100000,0.0109,750.0
C0231,Movie_231,Warner Bros,8.5,0.0522,"IN,BR",2023-03-15,2024-04-01,50000,0.0344,750.0
C0232,Movie_232,Lionsgate,9.4,0.042,"IN,BR",2023-08-31,2025-08-11,250000,0.03,500.0
C0233,Movie_233,Lionsgate,13.3,0.0516,US,2023-07-21,2024-11-18,250000,0.0354,750.0
C0234,Movie_234,Indie Label,13.8,0.0358,"IN,BR",2023-09-01,2024-03-16,250000,0.0262,750.0
C0235,Movie_235,MGM,13.8,0.0286,"US,CA,UK",2023-01-14,2024-11-09,250000,0.0208,200.0
C0236,Movie_236,Indie Label,9.5,0.0467,"UK,FR,AU",2023-09-03,2024-08-22,250000,0.0348,200.0
C0237,Movie_237,Indie Label,9.5,0.0234,"US,CA",2023-10-21,2024-08-08,250000,0.0157,200.0
C0238,Movie_238,Warner Bros,15.1,0.0711,"JP,DE",2023-09-14,2025-07-07,250000,0.0532,200.0
C0239,Movie_239,Sony Music,12.6,0.0468,"UK,FR,AU",2023-06-16,2025-04-15,250000,0.0297,500.0
C0240,Movie_240,Disney,10.8,0.0527,"UK,FR,AU",2023-07-01,2024-09-23,100000,0.0317,200.0
